"id"	"symbol"	"Tau"	"class"	"whichMAX"	"nbMAX"	"maxlog10TPM"	"day"
"184"	"ENSMUSG00000026211"	"Obsl1"	0.617526612298573	"intermediate"	"FAPs"	1	0.927906718205221	"D0"
"185"	"ENSMUSG00000026219"	"Trip12"	0.0545611758275093	"housekeeping"	"ECs"	1	1.70292140908576	"D0"
"186"	"ENSMUSG00000026222"	"Sp100"	0.406909574342364	"housekeeping"	"ECs"	1	2.09795317189137	"D0"
"187"	"ENSMUSG00000026229"	"Psmd1"	0.0938917697134014	"housekeeping"	"sCs"	1	1.36684956397861	"D0"
"188"	"ENSMUSG00000026234"	"Ncl"	0.143902580080633	"housekeeping"	"sCs"	1	1.93681094353769	"D0"
"189"	"ENSMUSG00000026235"	"Epha4"	0.728094054854314	"intermediate"	"FAPs"	1	0.88266376676419	"D0"
"190"	"ENSMUSG00000026239"	"Pde6d"	0.12374689160704	"housekeeping"	"FAPs"	1	1.08822085395191	"D0"
"191"	"ENSMUSG00000026240"	"Cops7b"	0.110598671149777	"housekeeping"	"sCs"	1	0.517646971947349	"D0"
"192"	"ENSMUSG00000026245"	"Farsb"	0.151834940453615	"housekeeping"	"sCs"	1	1.20978552826773	"D0"
"193"	"ENSMUSG00000026249"	"Serpine2"	0.575591000482425	"intermediate"	"FAPs"	1	2.2243501028185	"D0"
"194"	"ENSMUSG00000026253"	"Chrng"	0.972248963291089	"specific"	"sCs"	1	0.207245608758661	"D0"
"195"	"ENSMUSG00000026254"	"Eif4e2"	0.0201300326262414	"housekeeping"	"FAPs"	1	1.31130035141791	"D0"
"196"	"ENSMUSG00000026255"	"Efhd1"	0.984707287215967	"specific"	"FAPs"	1	1.4904423133482	"D0"
"197"	"ENSMUSG00000026259"	"Ngef"	0.921252359331867	"specific"	"FAPs"	1	0.616102604492643	"D0"
"198"	"ENSMUSG00000026269"	"Rnpepl1"	0.208232737744846	"housekeeping"	"ECs"	1	1.24239410999577	"D0"
"199"	"ENSMUSG00000026271"	"Gpr35"	0.980153604740508	"specific"	"FAPs"	1	0.327510050346151	"D0"
"200"	"ENSMUSG00000026273"	"Mterf4"	0.356900314191711	"housekeeping"	"FAPs"	1	0.814396380283264	"D0"
"201"	"ENSMUSG00000026274"	"Pask"	0.680610554387868	"intermediate"	"FAPs"	1	0.468348137274983	"D0"
"202"	"ENSMUSG00000026275"	"Ppp1r7"	0.0634152958766009	"housekeeping"	"sCs"	1	0.603126724608024	"D0"
"203"	"ENSMUSG00000026276"	"Septin2"	0.153360826871999	"housekeeping"	"FAPs"	1	1.91816990505826	"D0"
"204"	"ENSMUSG00000026277"	"Stk25"	0.104401060955886	"housekeeping"	"FAPs"	1	1.24409283961825	"D0"
"205"	"ENSMUSG00000026279"	"Thap4"	0.1797665642264	"housekeeping"	"FAPs"	1	0.767344750011903	"D0"
"206"	"ENSMUSG00000026281"	"Dtymk"	0.252282761729347	"housekeeping"	"sCs"	1	1.28423819794025	"D0"
"207"	"ENSMUSG00000026283"	"Ing5"	0.0676746120389722	"housekeeping"	"sCs"	1	0.63938413563043	"D0"
"208"	"ENSMUSG00000026288"	"Inpp5d"	0.999830869892257	"specific"	"ECs"	1	1.33403729245979	"D0"
"209"	"ENSMUSG00000026307"	"Scly"	0.141567170705334	"housekeeping"	"FAPs"	1	0.883009912290119	"D0"
"210"	"ENSMUSG00000026309"	"Ilkap"	0.230709666104677	"housekeeping"	"sCs"	1	1.48262270720671	"D0"
"211"	"ENSMUSG00000026313"	"Hdac4"	0.0535970643812868	"housekeeping"	"FAPs"	1	1.14243309589775	"D0"
"212"	"ENSMUSG00000026315"	"Serpinb8"	0.541271149593835	"intermediate"	"FAPs"	1	0.415612490573925	"D0"
"213"	"ENSMUSG00000026319"	"Relch"	0.114491423391442	"housekeeping"	"ECs"	1	1.28664947203907	"D0"
"214"	"ENSMUSG00000026321"	"Tnfrsf11a"	0.98352872768224	"specific"	"ECs"	1	0.583445781774401	"D0"
"215"	"ENSMUSG00000026339"	"Ccdc93"	0.12576226934138	"housekeeping"	"ECs"	1	0.9528245385815	"D0"
