"id"	"symbol"	"Tau"	"class"	"whichMAX"	"nbMAX"	"maxlog10TPM"
"162"	"ENSMUSG00000026113"	"Inpp4a"	0.2746195233501	"housekeeping"	"M2.D2"	1	1.4011383738291
"163"	"ENSMUSG00000026116"	"Tmem131"	0.166659065403535	"housekeeping"	"M2.D2"	1	1.54326464150037
"164"	"ENSMUSG00000026121"	"Sema4c"	0.467691717555083	"housekeeping"	"ECs.D7"	1	1.18145081915887
"165"	"ENSMUSG00000026123"	"Plekhb2"	0.450025936501077	"housekeeping"	"M2.D2"	1	1.46891198012708
"166"	"ENSMUSG00000026126"	"Ptpn18"	0.679944249491992	"intermediate"	"M2.D2"	1	1.46674017717948
"167"	"ENSMUSG00000026127"	"Imp4"	0.267505663144489	"housekeeping"	"M1.D2"	1	0.91715852723852
"168"	"ENSMUSG00000026134"	"Prim2"	0.366009069535366	"housekeeping"	"FAPs.D2"	1	1.08561531580585
"169"	"ENSMUSG00000026141"	"Col19a1"	0.839276286399467	"specific"	"sCs.D7"	1	0.6219632685116
"170"	"ENSMUSG00000026142"	"Rhbdd1"	0.230289071227186	"housekeeping"	"FAPs.D0"	1	0.896751576615471
"171"	"ENSMUSG00000026149"	"Tm4sf20"	0.672219844410797	"intermediate"	"ECs.D2"	1	0.372434883564549
"172"	"ENSMUSG00000026150"	"Mff"	0.119507652463808	"housekeeping"	"M1.D2"	1	1.57842798499094
"173"	"ENSMUSG00000026153"	"Fam135a"	0.454054676262681	"housekeeping"	"FAPs.D7"	1	1.14674654212111
"174"	"ENSMUSG00000026154"	"Sdhaf4"	0.364250250666886	"housekeeping"	"FAPs.D4"	1	0.902627386942405
"175"	"ENSMUSG00000026155"	"Smap1"	0.199830620538472	"housekeeping"	"FAPs.D7"	1	1.46317435049095
"176"	"ENSMUSG00000026156"	"B3gat2"	0.782066877795461	"intermediate"	"ECs.D0"	1	0.293326642160904
"177"	"ENSMUSG00000026158"	"Ogfrl1"	0.360782319890193	"housekeeping"	"FAPs.D0"	1	1.14125137036221
"178"	"ENSMUSG00000026159"	"Agfg1"	0.208788164482303	"housekeeping"	"M1.D2"	1	1.42840858165111
"179"	"ENSMUSG00000026162"	"Nhej1"	0.42292722059465	"housekeeping"	"M1.D4"	1	0.392922342055046
"180"	"ENSMUSG00000026163"	"Sphkap"	0.832227954347053	"specific"	"FAPs.D4"	1	0.633106812835727
"181"	"ENSMUSG00000026175"	"Vil1"	0.724842705112224	"intermediate"	"FAPs.D7"	1	0.454635941963922
"182"	"ENSMUSG00000026179"	"Pnkd"	0.347758925123381	"housekeeping"	"ECs.D4"	1	1.34706910116313
"183"	"ENSMUSG00000026185"	"Igfbp5"	0.582040739243804	"intermediate"	"FAPs.D0"	1	2.52255179306841
